participant_id	AnatJson	AnatNifti	AnatMatch	FuncJson	FuncNifti	FuncMatch
sub-04	[0.008236, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
sub-06	[0.008236, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
sub-07	[0.008212, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[2.0, 23.0, 2.0]	[2.0, 3.0, 2.0]	['True', 'False', 'True']
sub-05	[0.005088, 0.008228]	[0.0051, 0.0082]	['True', 'True']	[2.0, 23.0, 2.0]	[2.0, 3.0, 2.0]	['True', 'False', 'True']
sub-08	[0.008236, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
sub-09	[0.005088, 0.008232]	[0.0051, 0.0082]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
sub-12	[0.008228]	[0.0082]	['True']	[2.0, 23.0, 2.0]	[2.0, 3.0, 2.0]	['True', 'False', 'True']
sub-10	[0.005088, 0.008236]	[0.0051, 0.0082]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
sub-13	[0.008236, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[2.0, 23.0, 2.0]	[2.0, 3.0, 2.0]	['True', 'False', 'True']
sub-14	[0.008228, 0.005088]	[0.0082, 0.0051]	['True', 'True']	[23.0, 2.0, 2.0]	[3.0, 2.0, 2.0]	['False', 'True', 'True']
